date,Scenario A,Scenario B,Scenario C,actual_price
2026-03-02,77.24,77.24,77.24,77.24
2026-03-03,71.4,78.14,92.21,83.28
2026-03-04,69.25,79.01,103.87,81.56
2026-03-05,68.46,79.84,112.96,88.59
2026-03-06,68.17,80.64,120.04,95.74
2026-03-07,68.06,81.41,125.55,95.27666666666666
2026-03-08,68.02,82.15,129.85,94.81333333333333
2026-03-09,68.01,82.86,133.2,94.35
2026-03-10,68.0,83.54,135.8,89.84
2026-03-11,68.0,84.19,137.84,90.98
2026-03-12,68.0,84.82,139.42,102.38
2026-03-13,68.0,85.42,140.65,103.23
2026-03-14,68.0,86.0,141.61,102.5
2026-03-15,68.0,86.55,142.36,101.77000000000001
2026-03-16,68.0,87.09,142.94,101.04
2026-03-17,68.0,87.6,143.4,101.04
2026-03-18,68.0,88.09,143.75,101.04
2026-03-19,68.0,88.56,144.03,
2026-03-20,68.0,89.02,144.24,
2026-03-21,68.0,89.45,144.41,
2026-03-22,68.0,89.87,144.54,
2026-03-23,68.0,90.27,144.64,
2026-03-24,68.0,90.66,144.72,
2026-03-25,68.0,91.03,144.78,
2026-03-26,68.0,91.39,144.83,
2026-03-27,68.0,91.73,144.87,
2026-03-28,68.0,92.06,144.9,
2026-03-29,68.0,92.37,144.92,
2026-03-30,68.0,92.67,144.94,
2026-03-31,68.0,92.96,144.95,
2026-04-01,68.0,93.24,144.96,
2026-04-02,68.0,93.51,144.97,
2026-04-03,68.0,93.77,144.98,
2026-04-04,68.0,94.02,144.98,
2026-04-05,68.0,94.25,144.99,
2026-04-06,68.0,94.48,144.99,
2026-04-07,68.0,94.7,144.99,
2026-04-08,68.0,94.91,144.99,
2026-04-09,68.0,95.11,144.99,
2026-04-10,68.0,95.31,145.0,
2026-04-11,68.0,95.49,145.0,
2026-04-12,68.0,95.67,145.0,
2026-04-13,68.0,95.84,145.0,
2026-04-14,68.0,96.01,145.0,
2026-04-15,68.0,96.17,145.0,
2026-04-16,68.0,96.32,145.0,
2026-04-17,68.0,96.46,145.0,
2026-04-18,68.0,96.6,145.0,
2026-04-19,68.0,96.74,145.0,
2026-04-20,68.0,96.87,145.0,
2026-04-21,68.0,96.99,145.0,
2026-04-22,68.0,97.11,145.0,
2026-04-23,68.0,97.23,145.0,
2026-04-24,68.0,97.34,145.0,
2026-04-25,68.0,97.44,145.0,
2026-04-26,68.0,97.54,145.0,
2026-04-27,68.0,97.64,145.0,
2026-04-28,68.0,97.74,145.0,
2026-04-29,68.0,97.83,145.0,
2026-04-30,68.0,97.91,145.0,
2026-05-01,68.0,97.99,145.0,
2026-05-02,68.0,98.07,145.0,
2026-05-03,68.0,98.15,145.0,
2026-05-04,68.0,98.22,145.0,
2026-05-05,68.0,98.29,145.0,
2026-05-06,68.0,98.36,145.0,
2026-05-07,68.0,98.43,145.0,
2026-05-08,68.0,98.49,145.0,
2026-05-09,68.0,98.55,145.0,
2026-05-10,68.0,98.61,145.0,
2026-05-11,68.0,98.66,145.0,
2026-05-12,68.0,98.72,145.0,
2026-05-13,68.0,98.77,145.0,
2026-05-14,68.0,98.81,145.0,
2026-05-15,68.0,98.86,145.0,
2026-05-16,68.0,98.91,145.0,
2026-05-17,68.0,98.95,145.0,
2026-05-18,68.0,98.99,145.0,
2026-05-19,68.0,99.03,145.0,
2026-05-20,68.0,99.07,145.0,
2026-05-21,68.0,99.11,145.0,
2026-05-22,68.0,99.14,145.0,
2026-05-23,68.0,99.18,145.0,
2026-05-24,68.0,99.21,145.0,
2026-05-25,68.0,99.24,145.0,
2026-05-26,68.0,99.27,145.0,
2026-05-27,68.0,99.3,145.0,
2026-05-28,68.0,99.33,145.0,
2026-05-29,68.0,99.35,145.0,
2026-05-30,68.0,99.38,145.0,
2026-05-31,68.0,99.4,145.0,
